analysis,model,seed,epochs,n_f,size,params,rel_l2,rmse,mae,max_err,pde_mse,final_loss,time,cached,loss_protocol
main,Direct,0,300,64,,249,0.0155212599784135,0.0072239194996654,0.0057371915318071,0.0212777405977249,0.0020233446266502,0.0029473148752003,3.2456955909729004,False,legacy
main,Aux,0,300,64,,282,0.0737091079354286,0.0343057662248611,0.0276499819010496,0.1031392216682434,0.0024075207766145,0.019752999767661,2.223549127578736,False,legacy
main,MerLin,0,300,64,,270,0.0280845277011394,0.0130711300298571,0.0106144864112138,0.034675046801567,0.0018509594956412,0.009340826421976,65.82488250732422,False,legacy
main,Direct,1,300,64,,249,0.0530975200235843,0.0247127022594213,0.0189996007829904,0.0829208567738533,0.022273976355791,0.0261145178228616,4.75545859336853,False,legacy
main,Aux,1,300,64,,282,0.0641534999012947,0.0298583880066871,0.0235304702073335,0.1033264696598053,0.001903127413243,0.0220551043748855,3.244957685470581,False,legacy
main,MerLin,1,300,64,,270,0.0501137189567089,0.0233239792287349,0.0205296128988266,0.0552198737859725,0.0023610286880284,0.0092675043269991,77.16874384880066,False,legacy
main,Direct,2,300,64,,249,0.123968705534935,0.0576976463198661,0.0445689596235752,0.1608500927686691,0.0185633357614278,0.0336843729019165,3.568509578704834,False,legacy
main,Aux,2,300,64,,282,0.0773587971925735,0.0360044166445732,0.0309729911386966,0.0833585113286972,0.0030237140599638,0.0127249825745821,2.740102052688598,False,legacy
main,MerLin,2,300,64,,270,0.0330645069479942,0.0153889153152704,0.0128836994990706,0.0320795774459838,0.0008379191858693,0.0044099390506744,105.16610836982728,False,legacy
main,Direct,1,300,64,,249,0.0530975200235843,0.0247127022594213,0.0189996007829904,0.0829208567738533,0.022273976355791,0.0261145178228616,3.313965082168579,False,corrected_phase1_v2
main,Aux,1,300,64,,282,0.0641534999012947,0.0298583880066871,0.0235304702073335,0.1033264696598053,0.001903127413243,0.0220551043748855,2.281026124954224,False,corrected_phase1_v2
main,MerLin,1,300,64,,270,0.0501137189567089,0.0233239792287349,0.0205296128988266,0.0552198737859725,0.0023610286880284,0.0092675043269991,53.99195861816406,False,corrected_phase1_v2
main,Direct,2,300,64,,249,0.123968705534935,0.0576976463198661,0.0445689596235752,0.1608500927686691,0.0185633357614278,0.0336843729019165,2.2020797729492188,False,corrected_phase1_v2
main,Aux,2,300,64,,282,0.0773587971925735,0.0360044166445732,0.0309729911386966,0.0833585113286972,0.0030237140599638,0.0127249825745821,1.4605166912078855,False,corrected_phase1_v2
main,MerLin,2,300,64,,270,0.0330645069479942,0.0153889153152704,0.0128836994990706,0.0320795774459838,0.0008379191858693,0.0044099390506744,48.34606575965881,False,corrected_phase1_v2
main,Direct,0,300,64,,249,0.015521259978413582,0.007223919499665499,0.005737191531807184,0.021277740597724915,0.002023344626650214,0.002947314875200391,2.5057358741760254,False,corrected_phase1_v2
main,Aux,0,300,64,,282,0.07370910793542862,0.034305766224861145,0.027649981901049614,0.10313922166824341,0.0024075207766145468,0.019752999767661095,1.4100368022918701,False,corrected_phase1_v2
main,MerLin,0,300,64,,270,0.02808452770113945,0.013071130029857159,0.010614486411213875,0.03467504680156708,0.0018509594956412911,0.00934082642197609,58.80115795135498,False,corrected_phase1_v2
