analysis,model,seed,epochs,n_f,size,params,rel_l2,rmse,mae,max_err,pde_mse,final_loss,time,cached
scaling,MerLin,0,150,64,fs2,176,0.293645977973938,0.1366690248250961,0.1054138466715812,0.2996829152107239,0.0220517441630363,0.1575561463832855,9.950536012649536,False
scaling,ClassicalAux,0,150,64,fs2,642,0.6389720439910889,0.2973910272121429,0.2500982880592346,0.5813155174255371,7.37770288456731e-32,1.3778597116470337,4.680924415588379,False
scaling,MerLin,0,150,64,fs4,270,0.3133226633071899,0.1458269506692886,0.1138424053788185,0.2991685569286346,0.0158022083342075,0.1780801713466644,20.68370294570923,False
scaling,ClassicalAux,0,150,64,fs4,642,0.6389720439910889,0.2973910272121429,0.2500982880592346,0.5813155174255371,7.37770288456731e-32,1.3778597116470337,4.0772199630737305,False
scaling,MerLin,0,150,64,fs8,506,0.2655220627784729,0.1235795319080352,0.0982927158474922,0.2718986272811889,0.0177096556872129,0.10260621458292,98.10332489013672,False
scaling,ClassicalAux,0,150,64,fs8,642,0.6389720439910889,0.29739102721214294,0.2500982880592346,0.5813155174255371,7.377702884567311e-32,1.3778597116470337,6.149988412857056,False
