analysis,model,seed,epochs,qumodes,feature_size,params,time,rel_l2,rmse,mae,max_err,nmse,pde_mse,ic_mse,bc_mse,final_loss,notes
qumode_sweep_run,MerLin Aux (7 qumodes),4,6,7,6,432,3.4675822257995605,0.2847510154902368,0.061744881391930774,0.04742352986258158,0.19353854677933768,0.08108314082272104,0.005435002036392689,0.011202969588339329,5.182773846287186e-16,0.2107338011264801,Qumode sweep: 7 modes
qumode_sweep_run,MerLin Aux (8 qumodes),0,6,8,7,505,4.948024749755859,1.0037508063284222,0.21765146079322167,0.18393307111220672,0.424504582076485,1.0075156812049582,0.011295615695416927,0.05119406804442406,2.727968709487303e-15,0.5326315760612488,Qumode sweep: 8 modes
qumode_sweep_run,MerLin Aux (8 qumodes),1,6,8,7,505,4.601132154464722,0.7648356512644208,0.16584554225500558,0.13400320349032901,0.33645894498841333,0.5849735734450711,0.018346501514315605,0.03368321433663368,2.0818839528154815e-15,0.4589759111404419,Qumode sweep: 8 modes
qumode_sweep_run,MerLin Aux (8 qumodes),2,6,8,7,505,4.613066673278809,0.6924571543961732,0.15015112340714926,0.11023364041966302,0.3840634880917324,0.47949691067444544,0.0015583948697894812,0.03748235106468201,8.41208669299641e-17,0.3945159316062927,Qumode sweep: 8 modes
qumode_sweep_run,MerLin Aux (8 qumodes),3,6,8,7,505,4.446345567703247,0.35744068434920606,0.07750677419638217,0.061091888305448684,0.19301816842812614,0.12776384282802883,0.0030901532154530287,0.013319481164216995,8.214074477427792e-16,0.14542138576507568,Qumode sweep: 8 modes
qumode_sweep_run,MerLin Aux (8 qumodes),4,6,8,7,505,4.508580207824707,0.4702856445483199,0.10197586580322256,0.08550372402832,0.2469651345654097,0.22116858746822868,0.004444931633770466,0.017062468454241753,1.311819724807877e-15,0.36925387382507324,Qumode sweep: 8 modes
qumode_sweep_run,MerLin Aux (9 qumodes),0,6,9,8,586,5.925160646438599,1.0490024730825016,0.22746374817596357,0.19307804483938573,0.43688103952925905,1.1004061885332044,0.014489014632999897,0.05483339726924896,2.8550825203652822e-15,0.24958059191703796,Qumode sweep: 9 modes
qumode_sweep_run,MerLin Aux (9 qumodes),1,6,9,8,586,5.939958810806274,0.4182538189618035,0.09069338137058938,0.06764706075433015,0.28360264583995476,0.1749362570761331,0.0017339910846203566,0.01836051605641842,5.063217792760201e-16,0.18045629560947418,Qumode sweep: 9 modes
qumode_sweep_run,MerLin Aux (9 qumodes),2,6,9,8,586,6.023498773574829,0.4293101646809659,0.09309081884375363,0.07539335957800852,0.269232079603854,0.1843072174983981,0.00404044846072793,0.01880490407347679,5.0837181076661235e-16,0.20068515837192535,Qumode sweep: 9 modes
qumode_sweep_run,MerLin Aux (9 qumodes),3,6,9,8,586,5.884945869445801,0.3804247017240097,0.08249058584064996,0.06542339217033896,0.20146471283692435,0.14472295368180169,0.002289631636813283,0.014926384203135967,6.852318666368366e-16,0.15033072233200073,Qumode sweep: 9 modes
qumode_sweep_run,MerLin Aux (9 qumodes),4,6,9,8,586,6.000755310058594,1.1501386361733252,0.24939392596207932,0.21556107481366163,0.4490194658331226,1.3228188824186369,0.026938198134303093,0.06450926512479782,3.463380290227142e-15,0.591076135635376,Qumode sweep: 9 modes
qumode_sweep_run,MerLin Aux (10 qumodes),0,6,10,9,675,7.698806047439575,0.5666668094564568,0.12287497861384249,0.09180339679692474,0.2807416555406289,0.32111127293956043,0.013315579853951931,0.023562520742416382,1.4051914488363891e-15,0.29851970076560974,Qumode sweep: 10 modes
qumode_sweep_run,MerLin Aux (10 qumodes),1,6,10,9,675,7.369161605834961,0.4848063334356977,0.1051245050154013,0.08280081691407533,0.2294309970857339,0.23503718093936501,0.005641026888042688,0.01989164389669895,9.147057975422354e-16,0.18455031514167786,Qumode sweep: 10 modes
qumode_sweep_run,MerLin Aux (10 qumodes),2,6,10,9,675,7.563149452209473,1.4050595682523974,0.3046705074641475,0.25346485967003596,0.6232393814580692,1.974192390337613,0.0032179858535528183,0.11841642111539841,2.0900012548374767e-16,1.5990792512893677,Qumode sweep: 10 modes
qumode_sweep_run,MerLin Aux (10 qumodes),3,6,10,9,675,7.474045753479004,0.31885466883919417,0.06913985425071976,0.0546623803168848,0.21680048688819542,0.1016682998405522,0.0053990487940609455,0.011308032087981701,7.195837113292084e-16,0.14607474207878113,Qumode sweep: 10 modes
qumode_sweep_run,MerLin Aux (10 qumodes),4,6,10,9,675,7.354386806488037,0.4127100944403707,0.08949129044053213,0.0771336927467308,0.22568380278783706,0.17032962205297972,0.010388659313321114,0.014217262156307697,1.3132098117534397e-15,0.15642547607421875,Qumode sweep: 10 modes
