analysis,model,seed,epochs,params,time,rel_l2,rmse,mae,max_err,nmse,pde_mse,ic_mse,bc_mse,final_loss,qumodes,q_params,circuit_depth
baseline,Classical Direct (matched),0,50,249,0.4181501865386963,0.1976937665088298,0.04286754919555425,0.03452301301070988,0.13791072425626838,0.03908282531644772,0.015384449623525143,0.004449678584933281,1.209837169716696e-15,0.06546670943498611,0,0,N/A
baseline,Classical Aux (matched),0,50,282,0.37473034858703613,0.13674756767224436,0.029652088622129088,0.025015300283115417,0.09404591306617394,0.018699897264275036,0.0028042555786669254,0.0023946259170770645,5.741401604122053e-16,0.03225715830922127,0,0,N/A
baseline,MerLin Aux (depth=1),0,50,270,8.46620798110962,0.225242521304031,0.04884117002495355,0.03523190641122321,0.1385468289219006,0.050734193403396854,0.0021414586808532476,0.0005287635140120983,3.5793804465019936e-16,0.017899181693792343,4,40,<bound method Circuit.depths of <perceval.components.linear_circuit.Circuit object at 0x000001C3762B4380>>
baseline,MerLin Direct (depth=1),0,50,253,8.33555293083191,0.29448827784832127,0.06385629127872944,0.05053033516437314,0.1519621910836132,0.08672334579007009,0.015305700711905956,0.009072011336684227,9.866998922897067e-16,0.0970173105597496,4,40,<bound method Circuit.depths of <perceval.components.linear_circuit.Circuit object at 0x000001C3763160F0>>
baseline,Classical Direct (strong),0,50,3297,0.42716550827026367,0.09631923119496338,0.020885683219271554,0.01581322822891129,0.08398094795006827,0.009277394297988805,0.008733811788260937,0.0017895124619826674,4.414528462715132e-16,0.02921377122402191,0,0,N/A
