analysis,model,seed,epochs,n_photons,params,time,rel_l2,rmse,mae,max_err,nmse,pde_mse,ic_mse,bc_mse,final_loss,notes
photon_comparison,MerLin Aux (3 photons),0,50,3,310,24.492819786071777,0.24234109556623665,0.05254879311445648,0.0415150868091381,0.12466594598549918,0.058729206600243854,0.006570249330252409,0.006011013872921467,8.732558696914318e-16,0.068148173391819,Photon comparison: 3 photons
photon_comparison,MerLin Aux (4 photons),0,50,4,310,24.710083961486816,0.28856513938943595,0.06257192893507908,0.04305715128327754,0.19830640603754657,0.08326983967084461,0.006783353630453348,0.000911737559363246,2.0595062158517498e-16,0.022213885560631752,Photon comparison: 4 photons
