seed,params,train_time,n_f,rmse,nmse,mae,max_err,pde_residual,forward_time_ms,model
0,282,3.834219217300415,64,0.023075632279898825,0.011219343685072304,0.017041393115714513,0.06173362906305363,0.0004109789151698351,0.30143260955810547,Classical Matched
1,282,4.272782802581787,64,0.027689240727811034,0.01615408362633824,0.021115328345521298,0.07009915749031448,0.00036693442962132394,0.8313894271850586,Classical Matched
2,282,3.5976264476776123,64,0.020852549025681073,0.009161752061709804,0.01669542930021181,0.045029021842400235,0.0004726252518594265,0.7695436477661133,Classical Matched
3,282,3.8528642654418945,64,0.02984741501986157,0.01877040665057445,0.021685208190975542,0.07774182923416662,0.0006120716570876539,0.6069660186767578,Classical Matched
4,282,4.013504266738892,64,0.02370913294748855,0.011843813950657204,0.017757133261979127,0.06447686130162722,0.0005996942636556923,0.5383729934692383,Classical Matched
0,386,4.878506898880005,64,0.01686865496518746,0.005995441131960504,0.012875416873938589,0.05384518644415337,0.002332169795408845,0.6041049957275391,Classical Fourier Matched
1,386,4.858543395996094,64,0.02458803517670207,0.012738194746853643,0.019555875849926185,0.0728722772356109,0.010551171377301216,0.6734848022460938,Classical Fourier Matched
2,386,2.436115026473999,64,0.028852886634089123,0.017540370858142845,0.022409136207112063,0.0894262144084465,0.012392224743962288,0.0,Classical Fourier Matched
3,386,2.1520559787750244,64,0.019424023519761045,0.007949478210249385,0.015618872459336382,0.0573303936634198,0.0013040583580732346,0.37512779235839844,Classical Fourier Matched
4,386,2.096543312072754,64,0.021801843221812865,0.010014900925593461,0.017001774109739083,0.06037178208844696,0.0013880823971703649,0.0,Classical Fourier Matched
0,3234,2.8097691535949707,64,0.005644392493944732,0.0006712659900503612,0.004515746678621162,0.01768917220767041,0.0005105246091261506,0.0,Classical Fourier Large
1,3234,3.031881332397461,64,0.006379444941885183,0.0008574839895817171,0.004816078929575533,0.020081129028127698,0.0004711486108135432,0.6002187728881836,Classical Fourier Large
2,3234,6.0965142250061035,64,0.011812542392441963,0.0029399977154430483,0.009322957137581824,0.02891545468207271,0.0009916928829625249,0.4020214080810547,Classical Fourier Large
3,3234,6.354049205780029,64,0.005701221561926276,0.0006848509628225082,0.004481231875371733,0.015192872850942007,0.00019871853874064982,0.7948637008666992,Classical Fourier Large
4,3234,6.4612531661987305,64,0.008097474745134784,0.0013815271911552947,0.005997713993311426,0.02655062247493778,0.0005680559552274644,0.7720470428466797,Classical Fourier Large
0,270,88.24152970314026,64,0.009471676320399833,0.0018902268564047078,0.006861333265131395,0.03021678190767607,0.00010369668598286808,25.126290321350098,MerLin Full
1,270,89.47235131263733,64,0.009782281867707729,0.0020162323456440635,0.007539330156257942,0.027760695326768392,0.0002258012245874852,21.07408046722412,MerLin Full
2,270,95.17223262786865,64,0.020463015140023768,0.008822658797313207,0.015325036751585938,0.05294216262837198,0.0005680461181327701,25.260376930236816,MerLin Full
3,270,91.11049008369446,64,0.012950388394521256,0.0035336686193203175,0.009194704357001371,0.037688223218145356,0.0001948153367266059,24.586868286132812,MerLin Full
4,270,88.97506833076477,64,0.013134179165752397,0.0036346793642955157,0.009850906491138428,0.03512047853342576,0.00017758658214006573,23.391079902648926,MerLin Full
0,310,161.14645862579346,64,0.02034241916796037,0.008718974965285639,0.015480042373374777,0.05276782475435088,0.0004729557258542627,53.98209095001221,MerLin Depth=2
1,310,87.72925662994385,64,0.011748178636446767,0.0029080462935687666,0.008514491344513634,0.035009844786494215,0.0003172275610268116,25.667238235473633,MerLin Depth=2
2,310,62.77387833595276,64,0.02165538521933775,0.009880798891842936,0.01611297782239545,0.056716830751724456,0.000622984254732728,14.690732955932617,MerLin Depth=2
3,310,91.59104871749878,64,0.008751750933221461,0.001613801563263245,0.0070059744988545045,0.020607516249862068,0.0002179485309170559,23.63407611846924,MerLin Depth=2
4,310,103.88790202140808,64,0.014974068254105207,0.004724325904492867,0.011706911916853061,0.0392435272217187,0.0004949597059749067,23.08206558227539,MerLin Depth=2
