analysis,model,seed,epochs,n_f,size,params,rel_l2,rmse,mae,max_err,pde_mse,final_loss,time,cached,loss_protocol
param,Direct,0,150,64,small,105,0.2490493804216385,0.1159128099679946,0.1025076285004615,0.3557824194431305,0.0697837546467781,0.2835415005683899,1.042513370513916,False,legacy
param,Aux,0,150,64,small,114,0.1774776130914688,0.0826018303632736,0.0664916560053825,0.2371866106986999,0.0056361970491707,0.0839386880397796,1.1008615493774414,False,legacy
param,MerLin,0,150,64,small,176,0.293645977973938,0.1366690248250961,0.1054138466715812,0.2996829152107239,0.0220517441630363,0.1575561463832855,12.746667385101318,False,legacy
param,Direct,0,150,64,medium,881,0.0569092072546482,0.0264867432415485,0.0208840034902095,0.0838838741183281,0.0156800504773855,0.0203175991773605,1.3927278518676758,False,legacy
param,Aux,0,150,64,medium,898,0.0771294087171554,0.0358976460993289,0.0300430785864591,0.1283891946077346,0.0086216712370514,0.0320342816412448,1.3090341091156006,False,legacy
param,MerLin,0,150,64,medium,270,0.3133226633071899,0.1458269506692886,0.1138424053788185,0.2991685569286346,0.0158022083342075,0.1780801713466644,24.417012691497803,False,legacy
param,Direct,0,150,64,large,3297,0.039510354399681,0.0183889493346214,0.0142339672893285,0.0552286952733993,0.0056027946993708,0.0108565706759691,2.494184970855713,False,legacy
param,Aux,0,150,64,large,3330,0.0734347701072692,0.0341780893504619,0.0301336981356143,0.0640844032168388,0.0012502301251515,0.012655989266932,2.093919038772583,False,legacy
param,MerLin,0,150,64,large,506,0.2655220627784729,0.1235795319080352,0.0982927158474922,0.2718986272811889,0.0177096556872129,0.10260621458292,164.8716824054718,False,legacy
param,Direct,0,150,64,small,105,0.2490493804216385,0.1159128099679946,0.1025076285004615,0.3557824194431305,0.0697837546467781,0.2835415005683899,0.8998839855194092,False,corrected_phase1_v2
param,Aux,0,150,64,small,114,0.1774776130914688,0.0826018303632736,0.0664916560053825,0.2371866106986999,0.0056361970491707,0.0839386880397796,0.7848045825958252,False,corrected_phase1_v2
param,MerLin,0,150,64,small,176,0.293645977973938,0.1366690248250961,0.1054138466715812,0.2996829152107239,0.0220517441630363,0.1575561463832855,9.48911428451538,False,corrected_phase1_v2
param,Direct,0,150,64,medium,881,0.0569092072546482,0.0264867432415485,0.0208840034902095,0.0838838741183281,0.0156800504773855,0.0203175991773605,1.307302713394165,False,corrected_phase1_v2
param,Aux,0,150,64,medium,898,0.0771294087171554,0.0358976460993289,0.0300430785864591,0.1283891946077346,0.0086216712370514,0.0320342816412448,2.3970186710357666,False,corrected_phase1_v2
param,MerLin,0,150,64,medium,270,0.3133226633071899,0.1458269506692886,0.1138424053788185,0.2991685569286346,0.0158022083342075,0.1780801713466644,50.816386461257935,False,corrected_phase1_v2
param,Direct,0,150,64,large,3297,0.039510354399681,0.0183889493346214,0.0142339672893285,0.0552286952733993,0.0056027946993708,0.0108565706759691,2.5854649543762207,False,corrected_phase1_v2
param,Aux,0,150,64,large,3330,0.0734347701072692,0.0341780893504619,0.0301336981356143,0.0640844032168388,0.0012502301251515,0.012655989266932,1.981137752532959,False,corrected_phase1_v2
param,MerLin,0,150,64,large,506,0.2655220627784729,0.12357953190803528,0.09829271584749222,0.27189862728118896,0.017709655687212944,0.10260621458292007,193.31426739692688,False,corrected_phase1_v2
